Year ,Month,Transport Mode,Volume ,Rate,,,,
2017,April,TFL Rail,34,10.3,,,,
2017,May,TFL Rail,51,13.4,,,,
2017,June,TFL Rail,29,7.4,,,,
2017,July,TFL Rail,36,9.1,,,,
2017,August,TFL Rail,41,11.2,,,,
2017,September,TFL Rail,55,13.9,,,,
2017,October,TFL Rail,69,16.6,,,,
2017,November,TFL Rail,64,15.4,,,,
2017,December,TFL Rail,44,13,,,,
2018,January,TFL Rail,60,14.7,,,,
2018,February,TFL Rail,59,16.9,,,,
2018,March,TFL Rail,69,19.3,,,,
2017,April,London Tramlink,19,8.7,,,,
2017,May,London Tramlink,23,9.3,,,,
2017,June,London Tramlink,24,9.7,,,,
2017,July,London Tramlink,27,10.8,,,,
2017,August,London Tramlink,26,11.5,,,,
2017,September,London Tramlink,24,9.1,,,,
2017,October,London Tramlink,35,13.3,,,,
2017,November,London Tramlink,17,6.5,,,,
2017,December,London Tramlink,19,8.3,,,,
2018,January,London Tramlink,23,9.7,,,,
2018,February,London Tramlink,14,6.3,,,,
2018,March,London Tramlink,18,7.6,,,,
2017,April,All transport modes,"2,394",7.6,,,,
2017,May,All transport modes,"2,575",7.4,,,,
2017,June,All transport modes,"2,666",7.8,,,,
2017,July,All transport modes,"2,881",8.5,,,,
2017,August,All transport modes,"2,431",7.9,,,,
2017,September,All transport modes,"2,503",7.4,,,,
2017,October,All transport modes,"2,908",8.3,,,,
2017,November,All transport modes,"3,040",8.6,,,,
2017,December,All transport modes,"2,715",8.8,,,,
2018,January,All transport modes,"2,636",8,,,,
2018,February,All transport modes,"2,652",8.6,,,,
2018,March,All transport modes,"2,870",8.5,,,,
2018,April,Bus,"1,080",6.1,,,,
2018,May,Bus,"1,220",6.3,,,,
2018,June,Bus,"1,194",6.1,,,,
2018,July,Bus,"1,273",6.8,,,,
2018,August,Bus,"1,032",6.2,,,,
2018,September,Bus,"1,184",6.2,,,,
2018,October,Bus,"1,369",7,,,,
2018,November,Bus,"1,488",7.6,,,,
2018,December,Bus,"1,262",7.3,,,,
2019,January,Bus,"1,318",7.2,,,,
2019,February,Bus,"1,369",8,,,,
2019,March,Bus,"1,568",8.1,,,,
2018,April,London Underground,"1,111",10.1,,,,
2018,May,London Underground,"1,155",9.9,,,,
2018,June,London Underground,"1,169",10.2,,,,
2018,July,London Underground,"1,206",10.3,,,,
2018,August,London Underground,"1,159",10.3,,,,
2018,September,London Underground,"1,103",10,,,,
2018,October,London Underground,"1,297",10.3,,,,
2018,November,London Underground,"1,355",10.9,,,,
2018,December,London Underground,"1,763",16,,,,
2019,January,London Underground,"1,531",13.4,,,,
2019,February,London Underground,"1,484",13.5,,,,
2019,March,London Underground,"1,896",15.6,,,,
2018,April,Docklands Light Railway,44,4.4,,,,
2018,May,Docklands Light Railway,63,5.9,,,,
2018,June,Docklands Light Railway,56,5.5,,,,
2018,July,Docklands Light Railway,64,6.2,,,,
2018,August,Docklands Light Railway,51,5.1,,,,
2018,September,Docklands Light Railway,73,7.6,,,,
2018,October,Docklands Light Railway,62,5.6,,,,
2018,November,Docklands Light Railway,56,5.2,,,,
2018,December,Docklands Light Railway,69,7.6,,,,
2019,January,Docklands Light Railway,52,5.2,,,,
2019,February,Docklands Light Railway,40,4.1,,,,
2019,March,Docklands Light Railway,75,7,,,,
2018,April,London Overground,120,7.7,,,,
2018,May,London Overground,142,9,,,,
2018,June,London Overground,132,8.3,,,,
2018,July,London Overground,132,8.3,,,,
2018,August,London Overground,150,9.7,,,,
2018,September,London Overground,103,6.2,,,,
2018,October,London Overground,152,8.7,,,,
2018,November,London Overground,130,7.8,,,,
2018,December,London Overground,167,13.3,,,,
2019,January,London Overground,103,6.5,,,,
2019,February,London Overground,135,9.4,,,,
2019,March,London Overground,141,8.4,,,,
2018,April,TFL Rail,52,13.4,,,,
2018,May,TFL Rail,62,15.2,,,,
2018,June,TFL Rail,58,12.7,,,,
2018,July,TFL Rail,87,18.2,,,,
2018,August,TFL Rail,85,18.9,,,,
2018,September,TFL Rail,97,20.9,,,,
2018,October,TFL Rail,112,20.8,,,,
2018,November,TFL Rail,76,16.2,,,,
