Year,Month,Transport Mode,Crime Volume,Rate
2021,4,London Underground / Docklands Light Railway,697.0,27.3
2021,4,TFL Rail,26.0,12.4
2021,5,Bus,1028.0,9.1
2021,5,London Overground,84.0,10.9
2021,5,London Tramlink,15.0,9.3
2021,5,London Underground / Docklands Light Railway,767.0,24.9
2021,5,TFL Rail,38.0,15.5
2021,6,Bus,1056.0,9.1
2021,6,London Overground,81.0,9.6
2021,6,London Tramlink,14.0,8.6
2021,6,London Underground / Docklands Light Railway,791.0,22.1
2021,6,TFL Rail,50.0,16.7
2021,7,Bus,1131.0,9.6
2021,7,London Overground,89.0,10.6
2021,7,London Tramlink,20.0,12.2
2021,7,London Underground / Docklands Light Railway,834.0,21.700000000000003
2021,7,TFL Rail,53.0,17.1
2021,8,Bus,952.0,8.7
2021,8,London Overground,74.0,8.9
2021,8,London Tramlink,18.0,15.2
2021,8,London Underground / Docklands Light Railway,789.0,18.3
2021,8,TFL Rail,57.0,18.3
2021,9,Bus,1297.0,9.6
2021,9,London Overground,119.0,12.1
2021,9,London Tramlink,16.0,9.4
2021,9,London Underground / Docklands Light Railway,879.0,19.4
2021,9,TFL Rail,49.0,13.4
2021,10,Bus,1430.0,10.4
2021,10,London Overground,103.0,10.3
2021,10,London Tramlink,14.0,7.7
2021,10,London Underground / Docklands Light Railway,1054.0,21.3
2021,10,TFL Rail,45.0,11.3
2021,11,Bus,1446.0,10.2
2021,11,London Overground,95.0,8.4
2021,11,London Tramlink,22.0,12.5
2021,11,London Underground / Docklands Light Railway,1151.0,20.1
2021,11,TFL Rail,61.0,14.7
2021,12,Bus,1231.0,10.2
2021,12,London Overground,96.0,10.9
2021,12,London Tramlink,16.0,10.8
2021,12,London Underground / Docklands Light Railway,1108.0,25.4
2021,12,TFL Rail,50.0,15.0
2022,1,Bus,1200.0,9.5
2022,1,London Overground,107.0,11.7
2022,1,London Tramlink,22.0,13.0
2022,1,London Underground / Docklands Light Railway,1119.0,27.9
2022,1,TFL Rail,50.0,14.7
2022,2,Bus,1283.0,10.2
2022,2,London Overground,91.0,9.1
